Outlet,Ethics News Policy Guidelines,Link,Mention of diversity,Link,Mention of Equity,Link,Mention of inclusion,Link,Mention of Gender Neutral Language,Link,Newsroom Diversity Statement,Link
Daily Mail,No,Possibly follows IPSO Guidelines: https://www.ipso.co.uk/responding-to-covid-19/,No,,No,,No,,No,,No,
Reuters,Yes,https://www.reutersagency.com/en/about/standards-values/,No,,No,,No,,Yes,https://www.reutersagency.com/en/about/standards-values/,Yes,https://static.reuters.com/resources/media/editorial/20210405/DiversityReportApril2021.pdf
Washington Post,Yes,https://www.washingtonpost.com/policies-and-standards/,Yes,https://www.washingtonpost.com/policies-and-standards/#sourcespolicy,No,,No,,No,,Yes,https://www.washingtonpost.com/pr/2021/07/28/workforce-demographics/
Guardian,Yes,https://www.theguardian.com/info/2015/aug/05/the-guardians-editorial-code,Yes,https://workforus.theguardian.com/diversity-statement,No,,Yes,https://workforus.theguardian.com/index.php/life-at-GNM/diversity-inclusion/,No,,No,
CNN,No,,No,,No,,No,,No,,No,
LATimes,Yes,https://www.latimes.com/la-times-ethics-guidelines-story.html,No,,No,,No,,No,,No,
USA Today,Yes,https://cm.usatoday.com/ethical-conduct/,Yes,https://cm.usatoday.com/ethical-conduct/,No,,No,,No,,Yes,https://www.usatoday.com/story/news/2021/09/01/usatoday-diversity-newsroom-data/5658434001/
Business Insider,Yes,https://www.businessinsider.com/business-insider-ethics-policy,No,,No,,No,,No,,No,
Fox News,No,,No,,No,,No,,No,,No,
CNBC,No,,No,,No,,No,,No,,No,
Huffintgon Post,No,,Yes,https://www.huffpost.com/static/about-us,No,,Yes,https://www.huffpost.com/static/about-us,No,,No,https://www.huffpost.com/static/about-us
Time,No,,No,,No,,No,,No,,No,
NewsMax,No,,No,,No,,No,,No,,No,
New York Times,Yes,"https://www.nytimes.com/editorial-standards/ethical-journalism.html , https://www.nytimes.com/editorial-standards/guidelines-on-integrity.html",No,,No,,No,,No,,Yes,"Latest publication 2019, https://www.nytco.com/company/diversity-and-inclusion/2019-diversity-and-inclusion-report/"
Breitbert,Yes,https://www.breitbart.com/policy-information/,Yes,https://www.breitbart.com/policy-information/,,,No,,No,,No,
Wall Street Journal,Yes,"https://www.wsj.com/about-us , https://www.dowjones.com/code-conduct/",Yes,"https://www.wsj.com/about-us, ""Across coverage, we seek a genuinely diverse set of voices and experiences with every story striving to speak to as wide an audience as possible.""",No,,No,,No,,Yes,https://www.washingtonpost.com/pr/2021/07/28/workforce-demographics/
Vox,Yes,"https://corp.voxmedia.com/ethics/ , https://www.vox.com/2018/12/7/18113237/ethics-and-guidelines-at-vox-com",Yes,https://diversity.voxmedia.com/,Yes,https://diversity.voxmedia.com/,Yes,https://diversity.voxmedia.com/,No,,No,
Politico,Yes,https://www.politico.com/about-us,No,,No,,No,,No,,Yes,https://www.politico.com/blogs/meet-politico/2021/01/04/2020-diversity-inclusion-programs-highlights-1526089
CBS News,No,,Yes,https://www.viacomcbs.com/sites/g/files/dxjhpe226/files/2021-08/ViacomCBS-Social-Impact-Review.pdf,Yes,https://www.viacomcbs.com/sites/g/files/dxjhpe226/files/2021-08/ViacomCBS-Social-Impact-Review.pdf,Yes,https://www.viacomcbs.com/sites/g/files/dxjhpe226/files/2021-08/ViacomCBS-Social-Impact-Review.pdf,No,,Yes,https://www.viacomcbs.com/sites/g/files/dxjhpe226/files/2021-08/ViacomCBS-Social-Impact-Review.pdf
Daily Caller,Yes,https://dailycaller.com/journalistic-and-ethical-standards/,No,,No,,No,,No,,No,
Slate,No,,No,,No,,Yes,In the moderation policy of comments: https://slate.com/commenting,No,,Yes,https://slate.com/briefing/2021/01/slate-2020-diversity-and-inclusion-report.html
The Blaze,Yes,https://www.theblaze.com/editorial-standards,No,,No,,No,,No,,No,
The Atlantic,No,,No,,No,,No,,No,,Yes,https://cdn.theatlantic.com/assets/media/files/the-atlantic_diversity-and-inclusion-report-2020.pdf
NBC News,No,,Yes,https://www.nbcuniversal.com/diversity-equity-inclusion,Yes,https://www.nbcuniversal.com/diversity-equity-inclusion,Yes,https://www.nbcuniversal.com/diversity-equity-inclusion,No,,Yes,https://www.nbcuniversal.com/diversity-equity-inclusion
New Yorker,No,,No,,No,,No,,No,,No,
Daily News,No,,Yes,https://www.nydailynews.com/about/diversity-inclusion-statement-20200915-iv57scdt2vet7kurotc2ztflm4-story.html,no,,Yes,https://www.nydailynews.com/about/diversity-inclusion-statement-20200915-iv57scdt2vet7kurotc2ztflm4-story.html,No,,Yes,https://www.nydailynews.com/about/diversity-inclusion-statement-20200915-iv57scdt2vet7kurotc2ztflm4-story.html
,,,,,,,,,,,,
,13,,10,,3,,7,,1,,11,